ROI_Index,Region_Name,N_Datasets,Datasets,Total_Count,Mean_Count,Max_Count,Rank
6,"A9l, lateral area 9,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3789,473.625,494,11
138,"A39rd, rostrodorsal area 39(Hip3),Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3763,470.375,499,12
135,"A39c, caudal area 39(PGp),Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3756,469.5,491,13
116,"A28/34, area 28/34 (EC, entorhinal cortex),Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3731,466.375,491,14
45,"A11l, lateral area 11,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3716,464.5,492,15
109,"A35/36r, rostral area 35/36,Left",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3702,462.75,490,16
78,"A38l, lateral area 38,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3604,450.5,490,17
54,"A4hf, area 4(head and face region),Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",3391,484.42857142857144,498,18
5,"A9l, lateral area 9,Left",7,"hcp_dev, nki_cog_dev, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3388,484.0,496,19
115,"A28/34, area 28/34 (EC, entorhinal cortex),Left",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd",3385,483.57142857142856,494,20
34,"A45c, caudal area 45,Right",8,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3383,422.875,486,21
94,"A20r, rostral area 20,Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd",3363,480.42857142857144,491,22
12,"A9m,medial area 9,Right",7,"hcp_dev, nki_cog_dev, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3304,472.0,487,23
84,"A21r, rostral area 21,Right",7,"hcp_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3243,463.2857142857143,491,24
230,"dlPu, dorsolateral putamen,Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3199,457.0,486,25
151,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Left",7,"hcp_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3174,453.42857142857144,490,26
211,"mAmyg, medial amygdala,Left",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd",3155,450.7142857142857,482,27
60,"A4t, area 4(trunk region),Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",3136,448.0,465,28
238,"rTtha, rostral temporal thalamus,Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",3111,444.42857142857144,481,29
126,"A7r, rostral area 7,Right",7,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_td, abide_asd, stanford_asd",3068,438.2857142857143,476,30
228,"dCa, dorsal caudate,Right",7,"nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",3019,431.2857142857143,460,31
212,"mAmyg, medial amygdala,Right",6,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, abide_asd",2606,434.3333333333333,470,32
11,"A9m,medial area 9,Left",6,"hcp_dev, nki_cog_dev, adhd200_td, cmihbn_adhd, abide_asd, stanford_asd",2600,433.3333333333333,462,33
139,"A40rd, rostrodorsal area 40(PFt),Left",6,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, abide_asd",2531,421.8333333333333,454,34
222,"GP, globus pallidus,Right",6,"hcp_dev, nki_cog_dev, adhd200_adhd, adhd200_td, cmihbn_adhd, abide_asd",2531,421.8333333333333,445,35
182,"A23v, ventral area 23,Right",5,"nki_cog_dev, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",2279,455.8,474,36
181,"A23v, ventral area 23,Left",5,"nki_cog_dev, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",2226,445.2,465,37
240,"PPtha, posterior parietal thalamus,Right",5,"hcp_dev, nki_cog_dev, cmihbn_adhd, cmihbn_td, stanford_asd",2150,430.0,457,38
229,"dlPu, dorsolateral putamen,Left",5,"hcp_dev, nki_cog_dev, cmihbn_adhd, cmihbn_td, stanford_asd",2141,428.2,450,39
13,"A10m, medial area 10,Left",5,"hcp_dev, nki_cog_dev, cmihbn_adhd, cmihbn_td, abide_asd",2141,428.2,457,40
96,"A20il, intermediate lateral area 20,Right",5,"nki_cog_dev, adhd200_td, cmihbn_adhd, cmihbn_td, abide_asd",2124,424.8,470,41
160,"A2, area 2,Right",5,"adhd200_adhd, adhd200_td, cmihbn_adhd, cmihbn_td, stanford_asd",2115,423.0,446,42
130,"A5l, lateral area 5,Right",5,"hcp_dev, adhd200_adhd, cmihbn_adhd, cmihbn_td, stanford_asd",2110,422.0,444,43
59,"A4t, area 4(trunk region),Left",5,"hcp_dev, nki_cog_dev, adhd200_adhd, cmihbn_td, stanford_asd",2078,415.6,461,44
57,"A4ul, area 4(upper limb region),Left",5,"hcp_dev, nki_cog_dev, adhd200_adhd, cmihbn_adhd, cmihbn_td",2068,413.6,443,45
18,"IFJ, inferior frontal junction,Right",4,"cmihbn_adhd, cmihbn_td, abide_asd, stanford_asd",1777,444.25,487,46
190,"cLinG, caudal lingual gyrus,Right",4,"adhd200_adhd, adhd200_td, abide_asd, stanford_asd",1742,435.5,466,47
30,"A44d,dorsal area 44,Right",4,"nki_cog_dev, cmihbn_adhd, cmihbn_td, stanford_asd",1721,430.25,484,48
226,"vmPu, ventromedial putamen,Right",4,"hcp_dev, nki_cog_dev, cmihbn_adhd, abide_asd",1719,429.75,445,49
108,"A37lv, lateroventral area37,Right",4,"hcp_dev, nki_cog_dev, cmihbn_adhd, abide_asd",1712,428.0,443,50
67,"A4ll, area 4, (lower limb region),Left",4,"hcp_dev, adhd200_adhd, cmihbn_td, stanford_asd",1709,427.25,482,51
19,"A46, area 46,Left",4,"nki_cog_dev, adhd200_adhd, adhd200_td, stanford_asd",1648,412.0,430,52
152,"dmPOS, dorsomedial parietooccipital  sulcus(PEr) ,Right",3,"cmihbn_td, abide_asd, stanford_asd",1376,458.6666666666667,490,53
93,"A20r, rostral area 20,Left",3,"adhd200_adhd, adhd200_td, cmihbn_td",1375,458.3333333333333,466,54
176,"A23d, dorsal area 23,Right",3,"adhd200_td, cmihbn_adhd, abide_asd",1307,435.6666666666667,482,55
147,"A7m, medial area 7(PEp),Left",3,"cmihbn_td, abide_asd, stanford_asd",1301,433.6666666666667,448,56
219,"vCa, ventral caudate,Left",3,"hcp_dev, cmihbn_td, abide_asd",1251,417.0,456,57
150,"A5m, medial area 5(PEm),Right",3,"hcp_dev, abide_asd, stanford_asd",1242,414.0,425,58
7,"A6dl, dorsolateral area 6,Left",3,"hcp_dev, nki_cog_dev, cmihbn_adhd",1241,413.6666666666667,420,59
69,"A38m, medial area 38,Left",3,"adhd200_adhd, adhd200_td, cmihbn_td",1236,412.0,428,60
