Region ID,Gyrus,Description,Region Alias,(ID) Region Label,Count
214,Middle Temporal Gyrus,Amyg_R_2_2,"lAmyg, lateral amyg","(214), Amyg_R_2_2",82
215,Middle Temporal Gyrus,Hipp_L_2_1,"rHipp, rostral hipp","(215), Hipp_L_2_1",203
216,Middle Temporal Gyrus,Hipp_R_2_1,"rHipp, rostral hipp","(216), Hipp_R_2_1",269
219,Striatum,Str_L_6_1,"vCa, ventral caudate","(219), Str_L_6_1",384
222,Striatum,Str_R_6_2,"GP, globus pallidus","(222), Str_R_6_2",231
226,Striatum,Str_R_6_4,"vmPu, ventromedial putamen","(226), Str_R_6_4",270
227,Striatum,Str_L_6_5,"dCa, dorsal caudate","(227), Str_L_6_5",482
228,Striatum,Str_R_6_5,"dCa, dorsal caudate","(228), Str_R_6_5",439
229,Striatum,Str_L_6_6,"dlPu, dorsolateral putamen","(229), Str_L_6_6",450
230,Striatum,Str_R_6_6,"dlPu, dorsolateral putamen","(230), Str_R_6_6",486
231,Thalamus,Tha_L_8_1,"mPFtha, medial Pre-frontal thalamus","(231), Tha_L_8_1",76
238,Thalamus,Tha_R_8_4,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",481
241,Thalamus,Tha_L_8_6,"Otha, occipital thalamus","(241), Tha_L_8_6",491
242,Thalamus,Tha_R_8_6,"Otha, occipital thalamus","(242), Tha_R_8_6",491
243,Thalamus,Tha_L_8_7,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",401
21,Prefrontal Cortex,MFG_L_7_4,"A9/46v, ventral area 9/46 ","(21), MFG_L_7_4",218
28,Prefrontal Cortex,MFG_R_7_7,"A10l, lateral area10","(28), MFG_R_7_7",375
37,Prefrontal Cortex,IFG_L_6_5,"A44op, opercular area 44","(37), IFG_L_6_5",68
38,Prefrontal Cortex,IFG_R_6_5,"A44op, opercular area 44","(38), IFG_R_6_5",176
40,Prefrontal Cortex,IFG_R_6_6,"A44v, ventral area 44","(40), IFG_R_6_6",211
42,Prefrontal Cortex,OrG_R_6_1,"A14m, medial area 14","(42), OrG_R_6_1",291
62,Precentral Gyrus,PrG_R_6_5,"A4tl, area 4(tongue and larynx region)","(62), PrG_R_6_5",161
63,Precentral Gyrus,PrG_L_6_6,"A6cvl, caudal ventrolateral area 6","(63), PrG_L_6_6",232
64,Precentral Gyrus,PrG_R_6_6,"A6cvl, caudal ventrolateral area 6","(64), PrG_R_6_6",195
98,Inferior Temporal Gyrus,ITG_R_7_5,"A37vl, ventrolateral area 37","(98), ITG_R_7_5",151
106,Inferior Temporal Gyrus,FuG_R_3_2,"A37vm, medioventral area37","(106), FuG_R_3_2",156
115,Middle Temporal Gyrus,PhG_L_6_4,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",373
123,Superior Temporal Gyrus,pSTS_L_2_2,"cpSTS, caudoposterior superior temporal sulcus","(123), pSTS_L_2_2",152
125,Superior Parietal Lobule,SPL_L_5_1,"A7ip, intraparietal area 7(hIP3)","(125), SPL_L_5_1",160
141,Inferior Parietal Lobe,IPL_L_6_4,"A40c, caudal area 40(PFm)","(141), IPL_L_6_4",259
142,Inferior Parietal Lobe,IPL_R_6_4,"A40c, caudal area 40(PFm)","(142), IPL_R_6_4",176
157,Postcentral Gyrus,PoG_L_4_2,"A1/2/3tonIa, area 1/2/3(tongue and larynx region)","(157), PoG_L_4_2",204
162,Postcentral Gyrus,PoG_R_4_4,"A1/2/3tru, area1/2/3(trunk region)","(162), PoG_R_4_4",171
167,Prefrontal Cortex,INS_L_6_3,"dIa, dorsal agranular insular","(167), INS_L_6_3",198
168,Prefrontal Cortex,INS_R_6_3,"dIa, dorsal agranular insular","(168), INS_R_6_3",206
169,Prefrontal Cortex,INS_L_6_4,"vId/vIg, ventral granular insular","(169), INS_L_6_4",108
170,Prefrontal Cortex,INS_R_6_4,"vId/vIg, ventral granular insular","(170), INS_R_6_4",196
171,Prefrontal Cortex,INS_L_6_5,"dIg, dorsal granular insular","(171), INS_L_6_5",102
173,Prefrontal Cortex,INS_L_6_6,"dId, dorsal dysgranular insular","(173), INS_L_6_6",259
174,Prefrontal Cortex,INS_R_6_6,"dId, dorsal dysgranular insular","(174), INS_R_6_6",202
180,Cingulate Gyrus,CG_R_7_3,"A32p, pregenual area 32","(180), CG_R_7_3",203
181,Cingulate Gyrus,CG_L_7_4,"A23v, ventral area 23","(181), CG_L_7_4",465
183,Cingulate Gyrus,CG_L_7_5,"A24cd, caudodorsal area 24","(183), CG_L_7_5",68
185,Cingulate Gyrus,CG_L_7_6,"A23c, caudal area 24","(185), CG_L_7_6",258
189,"PCC, Precuneus",Cun_L_5_1,"cLinG, caudal lingual gyrus","(189), Cun_L_5_1",223
194,"PCC, Precuneus",Cun_R_5_3,"cCunG, caudal cuneus gyrus","(194), Cun_R_5_3",165
195,"PCC, Precuneus",Cun_L_5_4,"rLinG, rostral lingual gyrus","(195), Cun_L_5_4",425
223,Striatum,Str_L_6_3,"NAC, nucleus accumbens","(223), Str_L_6_3",140
239,Thalamus,Tha_L_8_5,"PPtha, posterior parietal thalamus","(239), Tha_L_8_5",206
240,Thalamus,Tha_R_8_5,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",409
244,Thalamus,Tha_R_8_7,"cTtha, caudal Temporal thalamus","(244), Tha_R_8_7",175
1,Prefrontal Cortex,SFG_L_7_1,"A8m, medial area 8","(1), SFG_L_7_1",264
20,Prefrontal Cortex,MFG_R_7_3,"A46, area 46","(20), MFG_R_7_3",288
22,Prefrontal Cortex,MFG_R_7_4,"A9/46v, ventral area 9/46 ","(22), MFG_R_7_4",163
25,Prefrontal Cortex,MFG_L_7_6,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",223
26,Prefrontal Cortex,MFG_R_7_6,"A6vl, ventrolateral area 6","(26), MFG_R_7_6",59
36,Prefrontal Cortex,IFG_R_6_4,"A45r, rostral area 45","(36), IFG_R_6_4",309
43,Prefrontal Cortex,OrG_L_6_2,"A12/47o, orbital area 12/47","(43), OrG_L_6_2",342
68,Paracentral Lobule,PCL_R_2_2,"A4ll, area 4, (lower limb region)","(68), PCL_R_2_2",339
72,Superior Temporal Gyrus,STG_R_6_2,"A41/42, area 41/42","(72), STG_R_6_2",234
99,Inferior Temporal Gyrus,ITG_L_7_6,"A20cl, caudolateral of area 20","(99), ITG_L_7_6",231
120,Middle Temporal Gyrus,PhG_R_6_6,"TH, area TH (medial PPHC)","(120), PhG_R_6_6",279
121,Superior Temporal Gyrus,pSTS_L_2_1,"rpSTS, rostroposterior superior temporal sulcus","(121), pSTS_L_2_1",151
127,Superior Parietal Lobule,SPL_L_5_2,"A7c, caudal area 7","(127), SPL_L_5_2",231
129,Superior Parietal Lobule,SPL_L_5_3,"A7pc, postcentral area 7","(129), SPL_L_5_3",166
136,Inferior Parietal Lobe,IPL_R_6_1,"A39c, caudal area 39(PGp)","(136), IPL_R_6_1",106
140,Inferior Parietal Lobe,IPL_R_6_3,"A40rd, rostrodorsal area 40(PFt)","(140), IPL_R_6_3",55
144,Inferior Parietal Lobe,IPL_R_6_5,"A39rv, rostroventral area 39(PGa)","(144), IPL_R_6_5",130
166,Prefrontal Cortex,INS_R_6_2,"vIa, ventral agranular insular","(166), INS_R_6_2",274
178,Cingulate Gyrus,CG_R_7_2,"A24rv, rostroventral area 24","(178), CG_R_7_2",70
199,Occipital Gyrus,OcG_L_4_1,"mOccG, middle occipital gyrus","(199), OcG_L_4_1",299
207,Occipital Gyrus,sOcG_L_2_1,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",439
213,Middle Temporal Gyrus,Amyg_L_2_2,"lAmyg, lateral amyg","(213), Amyg_L_2_2",136
237,Thalamus,Tha_L_8_4,"rTtha, rostral Temporal thalamus","(237), Tha_L_8_4",281
2,Prefrontal Cortex,SFG_R_7_1,"A8m, medial area 8","(2), SFG_R_7_1",120
10,Prefrontal Cortex,SFG_R_7_5,"A6m, medial area 6","(10), SFG_R_7_5",104
27,Prefrontal Cortex,MFG_L_7_7,"A10l, lateral area10","(27), MFG_L_7_7",335
56,Precentral Gyrus,PrG_R_6_2,"A6cdl, caudal dorsolateral area 6","(56), PrG_R_6_2",47
65,Paracentral Lobule,PCL_L_2_1,"A1/2/3ll, area1/2/3 (lower limb region)","(65), PCL_L_2_1",284
86,Middle Temporal Gyrus,MTG_R_4_3,"A37dl, dorsolateral area37","(86), MTG_R_4_3",139
93,Inferior Temporal Gyrus,ITG_L_7_3,"A20r, rostral area 20","(93), ITG_L_7_3",303
101,Inferior Temporal Gyrus,ITG_L_7_7,"A20cv, caudoventral of area 20","(101), ITG_L_7_7",121
113,Middle Temporal Gyrus,PhG_L_6_3,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)","(113), PhG_L_6_3",117
132,Superior Parietal Lobule,SPL_R_5_4,"A5l, lateral area 5","(132), SPL_R_5_4",223
146,Inferior Parietal Lobe,IPL_R_6_6,"A40rv, rostroventral area 40(PFop)","(146), IPL_R_6_6",120
161,Postcentral Gyrus,PoG_L_4_4,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",375
164,Prefrontal Cortex,INS_R_6_1,"G, hypergranular insular","(164), INS_R_6_1",162
177,Cingulate Gyrus,CG_L_7_2,"A24rv, rostroventral area 24","(177), CG_L_7_2",169
204,Occipital Gyrus,OcG_R_4_3,"OPC, occipital polar cortex","(204), OcG_R_4_3",99
217,Middle Temporal Gyrus,Hipp_L_2_2,"cHipp, caudal hipp","(217), Hipp_L_2_2",69
218,Middle Temporal Gyrus,Hipp_R_2_2,"cHipp, caudal hipp","(218), Hipp_R_2_2",169
224,Striatum,Str_R_6_3,"NAC, nucleus accumbens","(224), Str_R_6_3",201
233,Thalamus,Tha_L_8_2,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",61
235,Thalamus,Tha_L_8_3,"Stha, sensory thalamus","(235), Tha_L_8_3",147
35,Prefrontal Cortex,IFG_L_6_4,"A45r, rostral area 45","(35), IFG_L_6_4",232
44,Prefrontal Cortex,OrG_R_6_2,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",316
74,Superior Temporal Gyrus,STG_R_6_3,TE1.0 and TE1.2,"(74), STG_R_6_3",95
75,Superior Temporal Gyrus,STG_L_6_4,"A22c, caudal area 22","(75), STG_L_6_4",138
81,Middle Temporal Gyrus,MTG_L_4_1,"A21c, caudal area 21","(81), MTG_L_4_1",110
82,Middle Temporal Gyrus,MTG_R_4_1,"A21c, caudal area 21","(82), MTG_R_4_1",43
158,Postcentral Gyrus,PoG_R_4_2,"A1/2/3tonIa, area 1/2/3(tongue and larynx region)","(158), PoG_R_4_2",128
175,Cingulate Gyrus,CG_L_7_1,"A23d, dorsal area 23","(175), CG_L_7_1",251
191,"PCC, Precuneus",Cun_L_5_2,"rCunG, rostral cuneus gyrus","(191), Cun_L_5_2",69
192,"PCC, Precuneus",Cun_R_5_2,"rCunG, rostral cuneus gyrus","(192), Cun_R_5_2",159
205,Occipital Gyrus,OcG_L_4_4,"iOccG, inferior occipital gyrus","(205), OcG_L_4_4",131
221,Striatum,Str_L_6_2,"GP, globus pallidus","(221), Str_L_6_2",116
225,Striatum,Str_L_6_4,"vmPu, ventromedial putamen","(225), Str_L_6_4",115
3,Prefrontal Cortex,SFG_L_7_2,"A8dl, dorsolateral area 8","(3), SFG_L_7_2",50
85,Middle Temporal Gyrus,MTG_L_4_3,"A37dl, dorsolateral area37","(85), MTG_L_4_3",102
95,Inferior Temporal Gyrus,ITG_L_7_4,"A20il, intermediate lateral area 20","(95), ITG_L_7_4",54
96,Inferior Temporal Gyrus,ITG_R_7_4,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",221
117,Middle Temporal Gyrus,PhG_L_6_5,"TI, area TI(temporal agranular insular cortex)","(117), PhG_L_6_5",151
131,Superior Parietal Lobule,SPL_L_5_4,"A5l, lateral area 5","(131), SPL_L_5_4",173
179,Cingulate Gyrus,CG_L_7_3,"A32p, pregenual area 32","(179), CG_L_7_3",163
236,Thalamus,Tha_R_8_3,"Stha, sensory thalamus","(236), Tha_R_8_3",128
246,Thalamus,Tha_R_8_8,"lPFtha, lateral Pre-frontal thalamus","(246), Tha_R_8_8",250
50,Prefrontal Cortex,OrG_R_6_5,"A13, area 13","(50), OrG_R_6_5",115
80,Superior Temporal Gyrus,STG_R_6_6,"A22r, rostral area 22","(80), STG_R_6_6",118
186,Cingulate Gyrus,CG_R_7_6,"A23c, caudal area 24","(186), CG_R_7_6",141
209,Occipital Gyrus,sOcG_L_2_2,"lsOccG, lateral superior occipital gyrus","(209), sOcG_L_2_2",58
220,Striatum,Str_R_6_1,"vCa, ventral caudate","(220), Str_R_6_1",157
58,Precentral Gyrus,PrG_R_6_3,"A4ul, area 4(upper limb region)","(58), PrG_R_6_3",226
88,Middle Temporal Gyrus,MTG_R_4_4,"aSTS, anterior superior temporal sulcus","(88), MTG_R_4_4",59
172,Prefrontal Cortex,INS_R_6_5,"dIg, dorsal granular insular","(172), INS_R_6_5",88
234,Thalamus,Tha_R_8_2,"mPMtha, pre-motor thalamus","(234), Tha_R_8_2",45
107,Inferior Temporal Gyrus,FuG_L_3_3,"A37vl, ventrolatral area37","(107), FuG_L_3_3",38
4,Prefrontal Cortex,SFG_R_7_2,"A8dl, dorsolateral area 8","(4), SFG_R_7_2",112
118,Middle Temporal Gyrus,PhG_R_6_5,"TI, area TI(temporal agranular insular cortex)","(118), PhG_R_6_5",99
245,Thalamus,Tha_L_8_8,"lPFtha, lateral Pre-frontal thalamus","(245), Tha_L_8_8",20
104,Inferior Temporal Gyrus,FuG_R_3_1,"A20rv, rostroventral area 20","(104), FuG_R_3_1",24
232,Thalamus,Tha_R_8_1,"mPFtha, medial Pre-frontal thalamus","(232), Tha_R_8_1",21
90,Inferior Temporal Gyrus,ITG_R_7_1,"A20iv, intermediate ventral area 20","(90), ITG_R_7_1",22
83,Middle Temporal Gyrus,MTG_L_4_2,"A21r, rostral area 21","(83), MTG_L_4_2",8
73,Superior Temporal Gyrus,STG_L_6_3,TE1.0 and TE1.2,"(73), STG_L_6_3",53
103,Inferior Temporal Gyrus,FuG_L_3_1,"A20rv, rostroventral area 20","(103), FuG_L_3_1",5
163,Prefrontal Cortex,INS_L_6_1,"G, hypergranular insular","(163), INS_L_6_1",28
89,Inferior Temporal Gyrus,ITG_L_7_1,"A20iv, intermediate ventral area 20","(89), ITG_L_7_1",15
102,Inferior Temporal Gyrus,ITG_R_7_7,"A20cv, caudoventral of area 20","(102), ITG_R_7_7",4
