Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",409
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",409
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",406
Prefrontal Cortex,"A44d,dorsal area 44","(29), IFG_L_6_1",402
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",401
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",396
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",394
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",392
Striatum,"vCa, ventral caudate","(219), Str_L_6_1",384
Prefrontal Cortex,"A10l, lateral area10","(28), MFG_R_7_7",375
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",375
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",373
"PCC, Precuneus","vmPOS,ventomeial parietooccipital sulcus","(198), Cun_R_5_5",372
Prefrontal Cortex,"A10m, medial area 10","(14), SFG_R_7_7",371
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(137), IPL_L_6_2",362
"PCC, Precuneus","rLinG, rostral lingual gyrus","(196), Cun_R_5_4",360
Prefrontal Cortex,"A8vl, ventrolateral area 8","(23), MFG_L_7_5",356
Middle Temporal Gyrus,"TH, area TH (medial PPHC)","(119), PhG_L_6_6",355
Prefrontal Cortex,"A13, area 13","(49), OrG_L_6_5",349
Postcentral Gyrus,"A2, area 2","(159), PoG_L_4_3",349
"PCC, Precuneus","vmPOS,ventomeial parietooccipital sulcus","(197), Cun_L_5_5",347
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",346
Prefrontal Cortex,"A12/47o, orbital area 12/47","(43), OrG_L_6_2",342
Middle Temporal Gyrus,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)","(114), PhG_R_6_3",341
Prefrontal Cortex,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",341
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(68), PCL_R_2_2",339
Prefrontal Cortex,"A10l, lateral area10","(27), MFG_L_7_7",335
Superior Temporal Gyrus,"cpSTS, caudoposterior superior temporal sulcus","(124), pSTS_R_2_2",333
Precentral Gyrus,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",332
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",328
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",325
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",316
Prefrontal Cortex,"A45r, rostral area 45","(36), IFG_R_6_4",309
Prefrontal Cortex,"IFS, inferior frontal sulcus","(31), IFG_L_6_2",306
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(110), PhG_R_6_1",305
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",303
Occipital Gyrus,"mOccG, middle occipital gyrus","(199), OcG_L_4_1",299
Prefrontal Cortex,"A10m, medial area 10","(13), SFG_L_7_7",299
Superior Parietal Lobule,"A7r, rostral area 7","(134), SPL_R_5_5",298
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",293
Prefrontal Cortex,"A14m, medial area 14","(42), OrG_R_6_1",291
