Brain Regions,Subdivision,(ID) Region Label,Count
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",430
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",428
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",428
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",426
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",422
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",419
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",419
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",419
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",418
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",415
Striatum,"GP, globus pallidus","(222), Str_R_6_2",413
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",410
Prefrontal Cortex,"A13, area 13","(49), OrG_L_6_5",406
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",404
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",404
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",396
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",395
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",391
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",385
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",384
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",383
Striatum,"dlPu, dorsolateral putamen","(229), Str_L_6_6",376
Occipital Gyrus,"OPC, occipital polar cortex","(204), OcG_R_4_3",375
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",372
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",370
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",368
Prefrontal Cortex,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",367
Prefrontal Cortex,"A11m, medial area 11","(47), OrG_L_6_4",360
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",358
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",358
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",357
Middle Temporal Gyrus,"TI, area TI(temporal agranular insular cortex)","(118), PhG_R_6_5",356
Prefrontal Cortex,"A10m, medial area 10","(13), SFG_L_7_7",355
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",354
Prefrontal Cortex,"A10m, medial area 10","(14), SFG_R_7_7",352
Inferior Temporal Gyrus,"A20cv, caudoventral of area 20","(101), ITG_L_7_7",352
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",349
"PCC, Precuneus","rLinG, rostral lingual gyrus","(195), Cun_L_5_4",347
Occipital Gyrus,"lsOccG, lateral superior occipital gyrus","(210), sOcG_R_2_2",344
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",343
Middle Temporal Gyrus,"rHipp, rostral hipp","(216), Hipp_R_2_1",342
Prefrontal Cortex,"A8m, medial area 8","(2), SFG_R_7_1",342
Thalamus,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",339
Middle Temporal Gyrus,"TL, area TL (lateral PPHC, posterior parahippocampal gyrus)","(114), PhG_R_6_3",338
Striatum,"vCa, ventral caudate","(219), Str_L_6_1",330
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",329
Prefrontal Cortex,"A14m, medial area 14","(42), OrG_R_6_1",324
Prefrontal Cortex,"dId, dorsal dysgranular insular","(173), INS_L_6_6",323
Prefrontal Cortex,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",316
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",316
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(110), PhG_R_6_1",315
Thalamus,"lPFtha, lateral Pre-frontal thalamus","(246), Tha_R_8_8",310
Striatum,"GP, globus pallidus","(221), Str_L_6_2",309
Occipital Gyrus,"mOccG, middle occipital gyrus","(200), OcG_R_4_1",309
Prefrontal Cortex,"A10l, lateral area10","(28), MFG_R_7_7",309
Prefrontal Cortex,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",309
Occipital Gyrus,"OPC, occipital polar cortex","(203), OcG_L_4_3",306
Middle Temporal Gyrus,"TH, area TH (medial PPHC)","(119), PhG_L_6_6",297
Precentral Gyrus,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",289
Prefrontal Cortex,"A8m, medial area 8","(1), SFG_L_7_1",289
