Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",388
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",388
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",374
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",370
Occipital Gyrus,"OPC, occipital polar cortex","(204), OcG_R_4_3",367
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",362
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",360
Thalamus,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",359
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",355
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",354
Prefrontal Cortex,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",353
Middle Temporal Gyrus,"rHipp, rostral hipp","(216), Hipp_R_2_1",349
Middle Temporal Gyrus,"TH, area TH (medial PPHC)","(119), PhG_L_6_6",348
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(162), PoG_R_4_4",348
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",344
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",341
Inferior Temporal Gyrus,"A20cv, caudoventral of area 20","(101), ITG_L_7_7",341
Postcentral Gyrus,"A2, area 2","(159), PoG_L_4_3",339
Prefrontal Cortex,"A9/46d, dorsal area 9/46","(15), MFG_L_7_1",338
Prefrontal Cortex,"A8m, medial area 8","(2), SFG_R_7_1",327
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",322
Middle Temporal Gyrus,"cHipp, caudal hipp","(217), Hipp_L_2_2",322
Precentral Gyrus,"A4ul, area 4(upper limb region)","(58), PrG_R_6_3",317
Precentral Gyrus,"A6cdl, caudal dorsolateral area 6","(55), PrG_L_6_2",316
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",316
Striatum,"NAC, nucleus accumbens","(223), Str_L_6_3",314
Thalamus,"PPtha, posterior parietal thalamus","(239), Tha_L_8_5",312
Middle Temporal Gyrus,"TI, area TI(temporal agranular insular cortex)","(118), PhG_R_6_5",312
Occipital Gyrus,"mOccG, middle occipital gyrus","(200), OcG_R_4_1",310
Occipital Gyrus,"mOccG, middle occipital gyrus","(199), OcG_L_4_1",309
Occipital Gyrus,"iOccG, inferior occipital gyrus","(206), OcG_R_4_4",302
Middle Temporal Gyrus,"cHipp, caudal hipp","(218), Hipp_R_2_2",295
Cingulate Gyrus,"A24rv, rostroventral area 24","(177), CG_L_7_2",295
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",295
Prefrontal Cortex,"A8m, medial area 8","(1), SFG_L_7_1",292
Inferior Temporal Gyrus,"A20rv, rostroventral area 20","(104), FuG_R_3_1",292
