Brain Regions,Subdivision,(ID) Region Label,Count
Inferior Temporal Gyrus,"A20il, intermediate lateral area 20","(96), ITG_R_7_4",405
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",400
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",400
Thalamus,"PPtha, posterior parietal thalamus","(239), Tha_L_8_5",400
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",398
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",396
Inferior Temporal Gyrus,"A20cv, caudoventral of area 20","(101), ITG_L_7_7",395
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",392
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",391
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",389
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",386
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",385
Prefrontal Cortex,"A8m, medial area 8","(2), SFG_R_7_1",382
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",379
Thalamus,"Stha, sensory thalamus","(235), Tha_L_8_3",366
Occipital Gyrus,"mOccG, middle occipital gyrus","(199), OcG_L_4_1",366
Middle Temporal Gyrus,"TH, area TH (medial PPHC)","(119), PhG_L_6_6",359
Striatum,"NAC, nucleus accumbens","(223), Str_L_6_3",354
Prefrontal Cortex,"A8vl, ventrolateral area 8","(23), MFG_L_7_5",353
Precentral Gyrus,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",353
Striatum,"GP, globus pallidus","(221), Str_L_6_2",353
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",351
"PCC, Precuneus","A7m, medial area 7(PEp)","(147), Pcun_L_4_1",349
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",348
Prefrontal Cortex,"A8m, medial area 8","(1), SFG_L_7_1",347
Middle Temporal Gyrus,"rHipp, rostral hipp","(216), Hipp_R_2_1",346
Prefrontal Cortex,"dIa, dorsal agranular insular","(167), INS_L_6_3",346
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",342
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",341
Prefrontal Cortex,"A44op, opercular area 44","(38), IFG_R_6_5",340
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",339
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",338
Thalamus,"cTtha, caudal Temporal thalamus","(243), Tha_L_8_7",336
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",331
Prefrontal Cortex,"A45r, rostral area 45","(35), IFG_L_6_4",330
Striatum,"vmPu, ventromedial putamen","(225), Str_L_6_4",330
Precentral Gyrus,"A6cdl, caudal dorsolateral area 6","(55), PrG_L_6_2",323
Inferior Parietal Lobe,"A40rv, rostroventral area 40(PFop)","(145), IPL_L_6_6",323
Prefrontal Cortex,"A11m, medial area 11","(47), OrG_L_6_4",318
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",317
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",315
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(110), PhG_R_6_1",309
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",304
Inferior Temporal Gyrus,"A20rv, rostroventral area 20","(104), FuG_R_3_1",301
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(208), sOcG_R_2_1",300
Prefrontal Cortex,"A10m, medial area 10","(14), SFG_R_7_7",298
Thalamus,"Stha, sensory thalamus","(236), Tha_R_8_3",298
Cingulate Gyrus,"A23c, caudal area 24","(186), CG_R_7_6",293
