Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",333
Occipital Gyrus,"OPC, occipital polar cortex","(203), OcG_L_4_3",329
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",328
Middle Temporal Gyrus,"cHipp, caudal hipp","(218), Hipp_R_2_2",327
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",320
Cingulate Gyrus,"A24rv, rostroventral area 24","(178), CG_R_7_2",320
Cingulate Gyrus,"A32p, pregenual area 32","(180), CG_R_7_3",318
Cingulate Gyrus,"A23v, ventral area 23","(182), CG_R_7_4",318
Occipital Gyrus,"OPC, occipital polar cortex","(204), OcG_R_4_3",317
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(156), PoG_R_4_1",315
Prefrontal Cortex,"dId, dorsal dysgranular insular","(173), INS_L_6_6",311
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",310
Precentral Gyrus,"A4ul, area 4(upper limb region)","(58), PrG_R_6_3",309
Prefrontal Cortex,"A14m, medial area 14","(42), OrG_R_6_1",308
Inferior Parietal Lobe,"A39rv, rostroventral area 39(PGa)","(143), IPL_L_6_5",308
Inferior Temporal Gyrus,"A20cv, caudoventral of area 20","(101), ITG_L_7_7",307
Superior Parietal Lobule,"A5l, lateral area 5","(131), SPL_L_5_4",306
Cingulate Gyrus,"A24rv, rostroventral area 24","(177), CG_L_7_2",305
Prefrontal Cortex,"A8m, medial area 8","(2), SFG_R_7_1",304
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(110), PhG_R_6_1",303
Occipital Gyrus,"mOccG, middle occipital gyrus","(200), OcG_R_4_1",302
Inferior Temporal Gyrus,"A20rv, rostroventral area 20","(104), FuG_R_3_1",298
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",297
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",297
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",296
Prefrontal Cortex,"A45r, rostral area 45","(36), IFG_R_6_4",295
